,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
Houston Rockets,53,14,.791,-,26-6,27-8,10-3,33-8,113.7,104.7,+9.0,W2,9-1
Golden State Warriors,51,16,.761,2,26-7,25-9,8-2,28-13,115.6,107.7,+7.9,L2,7-3
Toronto Raptors,49,17,.742,3.5,28-5,21-12,9-3,32-8,112.2,103.4,+8.8,W8,9-1
Boston Celtics,46,21,.687,7,23-12,23-9,10-3,29-14,104.4,100.2,+4.3,L1,6-4
Portland Trail Blazers,41,26,.612,12,23-11,18-15,7-6,25-15,105.8,103.1,+2.7,W10,10-0
Indiana Pacers,39,28,.582,14,23-12,16-16,10-6,29-16,106.0,104.4,+1.6,W2,7-3
Oklahoma City Thunder,40,29,.580,14,24-11,16-18,5-9,24-20,106.7,103.6,+3.1,W3,7-3
Cleveland Cavaliers,38,28,.576,14.5,22-11,16-17,9-5,27-14,110.0,110.1,-0.1,L2,4-6
New Orleans Pelicans,38,28,.576,14.5,17-14,21-14,6-4,20-20,112.0,111.7,+0.4,L2,8-2
Minnesota Timberwolves,39,29,.574,14.5,26-8,13-21,9-4,29-13,109.7,107.1,+2.6,W1,5-5
Washington Wizards,38,29,.567,15,19-14,19-15,7-6,24-18,107.2,105.8,+1.4,L1,5-5
Philadelphia 76ers,36,29,.554,16,20-10,16-19,5-7,22-17,107.9,105.6,+2.3,W1,6-4
LA Clippers,36,29,.554,16,20-14,16-15,11-3,22-19,109.4,108.1,+1.3,W2,7-3
Utah Jazz,37,30,.552,16,21-11,16-19,6-8,24-16,102.8,100.3,+2.5,W6,8-2
Denver Nuggets,37,30,.552,16,26-10,11-20,6-6,24-21,109.2,107.9,+1.3,W2,6-4
San Antonio Spurs,37,30,.552,16,23-8,14-22,7-6,21-20,102.1,99.8,+2.4,L3,2-8
Milwaukee Bucks,36,31,.537,17,21-14,15-17,5-9,22-21,105.1,105.3,-0.2,W2,4-6
Miami Heat,36,32,.529,17.5,20-13,16-19,9-5,25-18,102.4,102.3,+0.0,L1,6-4
Detroit Pistons,30,36,.455,22.5,21-14,9-22,7-7,19-26,103.1,104.1,-1.0,W1,3-7
Los Angeles Lakers,30,36,.455,22.5,17-15,13-21,5-8,14-26,108.7,110.2,-1.5,W1,7-3
Charlotte Hornets,29,38,.433,24,19-17,10-21,9-4,17-23,106.8,107.4,-0.6,W1,5-5
New York Knicks,24,43,.358,29,16-15,8-28,6-8,12-27,104.0,107.6,-3.6,L7,1-9
Chicago Bulls,23,43,.348,29.5,15-18,8-25,4-8,18-22,103.4,109.4,-6.0,W1,3-7
Dallas Mavericks,21,46,.313,32,14-22,7-24,5-10,12-33,102.3,104.8,-2.5,L1,3-7
Brooklyn Nets,21,46,.313,32,12-22,9-24,1-10,14-25,105.9,110.1,-4.3,L1,2-8
Sacramento Kings,21,47,.309,32.5,11-22,10-25,3-9,10-33,99.3,107.2,-7.9,L2,3-7
Orlando Magic,20,47,.299,33,13-18,7-29,4-9,12-28,105.1,109.5,-4.3,L4,2-8
Atlanta Hawks,20,47,.299,33,15-20,5-27,3-8,9-34,103.6,108.6,-5.0,L3,2-8
Phoenix Suns,19,49,.279,34.5,9-24,10-25,3-8,13-30,104.5,113.5,-8.9,L5,1-9
Memphis Grizzlies,18,49,.269,35,13-22,5-27,5-10,15-27,98.6,104.1,-5.5,L18,0-10
